der Januar	jaanuar
der Februar	veebruar
der März	märts
der April	aprill
der Mai	mai
der Juni	juuni
der Juli	juuli
der August	august
der September	september
der Oktober	oktoober
der November	november
der Dezember	detsember
im Januar	jaanuaris
im Februar	veebruaris
im März	märtsis
im April	aprillis
im Mai	mais
im Juni	juunis
im Juli	juulis
im August	augustis
im September	septembris
im Oktober	oktoobris
im November	novembris
im Dezember	detsembris
der Frühling	kevad
der Sommer	suvi
der Herbst	sügis
der Winter	talv
im Frühling	kevadel
im Sommer	suvel
im Herbst	sügisel
im Winter	talvel
